Date,Time,Software,Action,Version,ID,Denial Message
not_provided,11:29:36,(ARCGIS),OUT:,"Editor",jjose@SGH227R9PC,
not_provided,11:29:36,(ARCGIS),OUT:,"VBA",jjose@SGH227R9PC,
not_provided,11:29:47,(ARCGIS),OUT:,"Editor",jjose@SGH227R9PC,
not_provided,11:29:47,(ARCGIS),OUT:,"VBA",jjose@SGH227R9PC,
not_provided,11:29:53,(ARCGIS),OUT:,"Editor",smoodley@SGH227R9P2,
not_provided,11:29:53,(ARCGIS),OUT:,"VBA",smoodley@SGH227R9P2,
not_provided,11:29:57,(ARCGIS),OUT:,"Editor",snaidoo@SGH227R9PB,
not_provided,11:29:57,(ARCGIS),OUT:,"VBA",snaidoo@SGH227R9PB,
not_provided,11:30:01,(ARCGIS),UNSUPPORTED:,"Tracking",rvrooyen@SGH227R9PD,License server system does not support this feature. ,
not_provided,11:30:08,(ARCGIS),OUT:,"Editor",ralmeida@SGH402P41Y,
not_provided,11:30:08,(ARCGIS),OUT:,"VBA",ralmeida@SGH402P41Y,
not_provided,11:30:13,(ARCGIS),OUT:,"Editor",ralmeida@SGH402P41Y,
not_provided,11:30:13,(ARCGIS),OUT:,"VBA",ralmeida@SGH402P41Y,
not_provided,11:30:27,(ARCGIS),OUT:,"Editor",ralmeida@SGH402P41Y,
not_provided,11:30:27,(ARCGIS),OUT:,"VBA",ralmeida@SGH402P41Y,
not_provided,11:30:33,(ARCGIS),OUT:,"ARC/INFO",mcuevas@SGH227R9P8,
not_provided,11:30:33,(ARCGIS),OUT:,"VBA",mcuevas@SGH227R9P8,
not_provided,11:30:46,(ARCGIS),OUT:,"Editor",asawant@SGH227R9PF,
not_provided,11:30:46,(ARCGIS),OUT:,"VBA",asawant@SGH227R9PF,
not_provided,11:30:47,(ARCGIS),OUT:,"Editor",pshih@SGH227R9P9,
not_provided,11:30:47,(ARCGIS),OUT:,"VBA",pshih@SGH227R9P9,
not_provided,11:30:55,(ARCGIS),OUT:,"Editor",rzhang@SGH227R9P3,
not_provided,11:30:55,(ARCGIS),OUT:,"VBA",rzhang@SGH227R9P3,
not_provided,11:30:56,(ARCGIS),DENIED:,"ARC/INFO",mpatel1@SGH227R9P6,Checkout exceeds MAX specified in options file. ,
not_provided,11:30:56,(ARCGIS),DENIED:,"ARC/INFO",mpatel1@SGH227R9P6,Checkout exceeds MAX specified in options file. ,
not_provided,11:30:56,(ARCGIS),OUT:,"VBA",mpatel1@SGH227R9P6,
not_provided,11:31:06,(ARCGIS),UNSUPPORTED:,"Tracking",rvrooyen@SGH227R9PD,License server system does not support this feature. ,
not_provided,11:31:10,(ARCGIS),OUT:,"Editor",jjose@SGH227R9PC,
not_provided,11:31:10,(ARCGIS),OUT:,"VBA",jjose@SGH227R9PC,
not_provided,11:31:16,(ARCGIS),OUT:,"Editor",pshih@SGH227R9P9,
not_provided,11:31:16,(ARCGIS),OUT:,"VBA",pshih@SGH227R9P9,
not_provided,11:31:18,(ARCGIS),OUT:,"Editor",rvrooyen@SGH227R9PD,
not_provided,11:31:18,(ARCGIS),OUT:,"VBA",rvrooyen@SGH227R9PD,
not_provided,11:31:27,(ARCGIS),OUT:,"Viewer",cbroadbe@SGH448T6H1,
not_provided,11:31:27,(ARCGIS),OUT:,"VBA",cbroadbe@SGH448T6H1,
not_provided,11:31:29,(ARCGIS),OUT:,"ARC/INFO",mcuevas@SGH227R9P8,
not_provided,11:31:29,(ARCGIS),OUT:,"VBA",mcuevas@SGH227R9P8,
not_provided,11:31:46,(ARCGIS),UNSUPPORTED:,"Tracking",rvrooyen@SGH227R9PD,License server system does not support this feature. ,
not_provided,11:31:58,(ARCGIS),OUT:,"Editor",rvrooyen@SGH227R9PD,
not_provided,11:31:58,(ARCGIS),OUT:,"VBA",rvrooyen@SGH227R9PD,
not_provided,11:32:56,(ARCGIS),OUT:,"ARC/INFO",mpatel1@SGH227R9P6,
not_provided,11:33:06,(ARCGIS),UNSUPPORTED:,"Tracking",rvrooyen@SGH227R9PD,License server system does not support this feature. ,
not_provided,11:33:26,(ARCGIS),OUT:,"Editor",rvrooyen@SGH227R9PD,
not_provided,11:33:27,(ARCGIS),OUT:,"VBA",rvrooyen@SGH227R9PD,
not_provided,11:33:28,(ARCGIS),UNSUPPORTED:,"Tracking",rvrooyen@SGH227R9PD,License server system does not support this feature. ,
not_provided,11:33:36,(ARCGIS),OUT:,"Editor",jjose@SGH227R9PC,
not_provided,11:33:36,(ARCGIS),OUT:,"VBA",jjose@SGH227R9PC,
not_provided,11:33:47,(ARCGIS),OUT:,"Editor",jjose@SGH227R9PC,
not_provided,11:33:47,(ARCGIS),OUT:,"VBA",jjose@SGH227R9PC,
not_provided,11:33:53,(ARCGIS),OUT:,"Editor",smoodley@SGH227R9P2,
not_provided,11:33:53,(ARCGIS),OUT:,"VBA",smoodley@SGH227R9P2,
not_provided,11:33:57,(ARCGIS),OUT:,"Editor",snaidoo@SGH227R9PB,
not_provided,11:33:57,(ARCGIS),OUT:,"VBA",snaidoo@SGH227R9PB,
not_provided,11:34:08,(ARCGIS),OUT:,"Editor",ralmeida@SGH402P41Y,
not_provided,11:34:08,(ARCGIS),OUT:,"VBA",ralmeida@SGH402P41Y,
not_provided,11:34:14,(ARCGIS),OUT:,"Editor",ralmeida@SGH402P41Y,
not_provided,11:34:14,(ARCGIS),OUT:,"VBA",ralmeida@SGH402P41Y,
